question_id,strategy,question_type,exactitude,pertinence,hallucination,latence,aveu_ignorance,score_global
GS001,strategy_a_llm,direct_match,0.8,0.9166666666666667,0.6000000000000001,0.2,1.0,0.7233333333333334
GS001,strategy_b_rag,direct_match,1.0,0.75,0.7000000000000001,0.5,1.0,0.8150000000000001
GS001,strategy_c_qa,direct_match,0.0,0.275,0.8,0.2,1.0,0.395
GS002,strategy_a_llm,direct_match,0.0,0.8571428571428572,0.8,0.5,1.0,0.5564285714285715
GS002,strategy_b_rag,direct_match,1.0,0.7142857142857143,0.8,0.5,1.0,0.8278571428571428
GS002,strategy_c_qa,direct_match,0.0,0.49642857142857144,0.8,0.8,1.0,0.5292857142857144
GS003,strategy_a_llm,direct_match,1.0,0.8333333333333333,0.5000000000000001,0.5,1.0,0.7916666666666666
GS003,strategy_b_rag,direct_match,1.0,0.5833333333333334,0.7000000000000001,0.5,1.0,0.7816666666666666
GS003,strategy_c_qa,direct_match,0.0,0.8333333333333333,0.8,0.8,1.0,0.5966666666666667
GS004,strategy_a_llm,direct_match,0.5,0.9166666666666667,0.7000000000000001,0.5,1.0,0.6983333333333334
GS004,strategy_b_rag,direct_match,0.6666666666666666,0.75,0.8,0.5,1.0,0.735
GS004,strategy_c_qa,direct_match,0.0,0.6666666666666666,0.7000000000000001,0.8,1.0,0.5433333333333333
GS005,strategy_a_llm,direct_match,0.3333333333333333,0.8571428571428572,0.8,0.5,1.0,0.6564285714285715
GS005,strategy_b_rag,direct_match,1.0,0.5,0.8,0.5,1.0,0.785
GS005,strategy_c_qa,direct_match,0.16666666666666666,0.5,0.8,0.8,1.0,0.5800000000000001
GS006,strategy_a_llm,direct_match,0.75,0.9166666666666667,0.8,0.2,1.0,0.7483333333333334
GS006,strategy_b_rag,direct_match,1.0,0.6666666666666666,0.8,0.5,1.0,0.8183333333333334
GS006,strategy_c_qa,direct_match,0.0,0.5833333333333334,0.8,0.8,1.0,0.5466666666666667
GS007,strategy_a_llm,direct_match,0.25,0.8571428571428572,0.8,0.2,1.0,0.5864285714285715
GS007,strategy_b_rag,direct_match,1.0,0.5714285714285714,0.8,0.5,1.0,0.7992857142857143
GS007,strategy_c_qa,direct_match,1.0,0.5714285714285714,0.8,0.8,1.0,0.8442857142857143
GS008,strategy_a_llm,direct_match,0.4,0.9166666666666667,0.8,0.2,1.0,0.6433333333333334
GS008,strategy_b_rag,direct_match,1.0,0.5833333333333334,0.7000000000000001,0.8,1.0,0.8266666666666667
GS008,strategy_c_qa,direct_match,0.0,0.5833333333333334,0.8,0.5,1.0,0.5016666666666667
GS009,strategy_a_llm,direct_match,0.0,0.9166666666666667,0.7000000000000001,0.5,1.0,0.5483333333333333
GS009,strategy_b_rag,direct_match,1.0,0.8333333333333333,0.8,0.5,1.0,0.8516666666666667
GS009,strategy_c_qa,direct_match,1.0,0.8333333333333333,0.8,0.5,1.0,0.8516666666666667
GS010,strategy_a_llm,direct_match,0.0,0.875,0.8,0.5,1.0,0.56
GS010,strategy_b_rag,direct_match,0.5,0.5,0.8,0.5,1.0,0.635
GS010,strategy_c_qa,direct_match,0.0,0.2,0.8,0.8,1.0,0.4700000000000001
GS011,strategy_a_llm,reformulation,0.75,0.8125,0.6000000000000001,0.2,1.0,0.6875
GS011,strategy_b_rag,reformulation,1.0,0.8125,0.7000000000000001,0.5,1.0,0.8275
GS011,strategy_c_qa,reformulation,0.0,0.5625,0.8,0.8,1.0,0.5425
GS012,strategy_a_llm,reformulation,0.4,0.875,0.8,0.5,1.0,0.68
GS012,strategy_b_rag,reformulation,0.0,0.5,0.8,1.0,1.0,0.56
GS012,strategy_c_qa,reformulation,0.0,0.625,0.8,0.8,1.0,0.555
GS013,strategy_a_llm,reformulation,0.8,0.8333333333333333,0.8,0.2,1.0,0.7466666666666667
GS013,strategy_b_rag,reformulation,0.0,0.375,0.8,0.8,1.0,0.505
GS013,strategy_c_qa,reformulation,0.0,0.6666666666666666,0.8,0.8,1.0,0.5633333333333334
GS014,strategy_a_llm,reformulation,0.75,0.6666666666666666,0.8,0.2,1.0,0.6983333333333334
GS014,strategy_b_rag,reformulation,1.0,0.5555555555555556,0.7000000000000001,0.5,1.0,0.7761111111111111
GS014,strategy_c_qa,reformulation,1.0,0.6666666666666666,0.7000000000000001,0.5,1.0,0.7983333333333333
GS015,strategy_a_llm,reformulation,0.75,0.75,0.7000000000000001,0.2,1.0,0.6950000000000001
GS015,strategy_b_rag,reformulation,1.0,0.5833333333333334,0.7000000000000001,0.8,1.0,0.8266666666666667
GS015,strategy_c_qa,reformulation,1.0,0.5833333333333334,0.7000000000000001,0.8,1.0,0.8266666666666667
GS016,strategy_a_llm,reformulation,0.8,0.8,0.8,0.2,1.0,0.7400000000000001
GS016,strategy_b_rag,reformulation,1.0,0.75,0.8,0.8,1.0,0.8800000000000001
GS016,strategy_c_qa,reformulation,1.0,0.75,0.8,0.8,1.0,0.8800000000000001
GS017,strategy_a_llm,reformulation,0.6,0.6923076923076923,0.6000000000000001,0.5,1.0,0.6634615384615384
GS017,strategy_b_rag,reformulation,1.0,0.6153846153846154,0.6000000000000001,0.5,1.0,0.7680769230769231
GS017,strategy_c_qa,reformulation,1.0,0.6153846153846154,0.6000000000000001,0.8,1.0,0.8130769230769231
GS018,strategy_a_llm,reformulation,0.0,0.8928571428571428,0.8,0.5,1.0,0.5635714285714286
GS018,strategy_b_rag,reformulation,1.0,0.6428571428571428,0.7000000000000001,0.8,1.0,0.8385714285714285
GS018,strategy_c_qa,reformulation,0.5,0.5,0.8,0.8,1.0,0.68
GS019,strategy_a_llm,reformulation,0.5,0.8181818181818181,0.8,0.5,1.0,0.6986363636363636
GS019,strategy_b_rag,reformulation,0.75,0.6363636363636364,0.8,0.5,1.0,0.7372727272727273
GS019,strategy_c_qa,reformulation,0.0,0.5909090909090909,0.8,0.8,1.0,0.5481818181818182
GS020,strategy_a_llm,reformulation,0.0,0.5833333333333334,0.8,1.0,1.0,0.5766666666666668
GS020,strategy_b_rag,reformulation,0.0,0.5,0.8,1.0,1.0,0.56
GS020,strategy_c_qa,reformulation,0.0,0.7083333333333334,0.8,0.8,1.0,0.5716666666666668
GS021,strategy_a_llm,hors_sujet,1.0,1.0,1.0,1.0,1.0,1.0
GS021,strategy_b_rag,hors_sujet,1.0,0.0,0.0,1.0,0.0,0.44999999999999996
GS021,strategy_c_qa,hors_sujet,1.0,0.0,0.0,0.8,0.0,0.42
GS022,strategy_a_llm,hors_sujet,1.0,1.0,1.0,1.0,1.0,1.0
GS022,strategy_b_rag,hors_sujet,1.0,0.0,0.0,1.0,0.0,0.44999999999999996
GS022,strategy_c_qa,hors_sujet,1.0,0.0,0.0,0.8,0.0,0.42
GS023,strategy_a_llm,hors_sujet,1.0,1.0,1.0,1.0,1.0,1.0
GS023,strategy_b_rag,hors_sujet,1.0,0.0,0.0,1.0,0.0,0.44999999999999996
GS023,strategy_c_qa,hors_sujet,1.0,0.0,0.0,0.8,0.0,0.42
GS024,strategy_a_llm,hors_sujet,1.0,1.0,1.0,1.0,1.0,1.0
GS024,strategy_b_rag,hors_sujet,1.0,0.0,0.0,1.0,0.0,0.44999999999999996
GS024,strategy_c_qa,hors_sujet,1.0,0.0,0.0,0.8,0.0,0.42
